,DATE,CORESTICKM159SFRBATL
0,1968-03-31,3.8226148153333335
1,1968-06-30,4.263214293
2,1968-09-30,4.8826433043333335
3,1968-12-31,5.4294427113333334
4,1969-03-31,5.8737702936666665
5,1969-06-30,6.554073466666666
6,1969-09-30,6.546257806
7,1969-12-31,6.466553559666667
8,1970-03-31,6.879757354666666
9,1970-06-30,6.972515896
10,1970-09-30,7.068003664666667
11,1970-12-31,7.242646539
12,1971-03-31,6.282023820333333
13,1971-06-30,5.201909910666667
14,1971-09-30,4.917016772
15,1971-12-31,4.002329600333334
16,1972-03-31,3.8758998963333333
17,1972-06-30,3.7746188003333336
18,1972-09-30,3.3193987123333333
19,1972-12-31,3.249164664333333
20,1973-03-31,2.8844398506666664
21,1973-06-30,3.1019566533333336
22,1973-09-30,3.4268802746666664
23,1973-12-31,5.0003640423333335
24,1974-03-31,6.317825925
25,1974-06-30,7.816468700666667
26,1974-09-30,10.074438653
27,1974-12-31,11.014412715
28,1975-03-31,11.660767459
29,1975-06-30,11.019418273333335
30,1975-09-30,9.069480840666666
31,1975-12-31,7.962578806333333
32,1976-03-31,7.466507443333334
33,1976-06-30,6.894788109333334
34,1976-09-30,7.177767948333333
35,1976-12-31,6.562426871666666
36,1977-03-31,6.068036901
37,1977-06-30,6.747304837666667
38,1977-09-30,6.862437454999999
39,1977-12-31,7.104545441666667
40,1978-03-31,7.382208791666667
41,1978-06-30,7.578820996666667
42,1978-09-30,8.221860431666668
43,1978-12-31,9.102000972333334
44,1979-03-31,9.439005945
45,1979-06-30,10.090167772666666
46,1979-09-30,10.807942590000001
47,1979-12-31,11.972686396333335
48,1980-03-31,13.800298616333334
49,1980-06-30,15.214881517333334
50,1980-09-30,13.496507473333333
51,1980-12-31,12.880014186666665
52,1981-03-31,11.188904411666668
53,1981-06-30,9.508641635333333
54,1981-09-30,11.761978706666667
55,1981-12-31,10.548692975333333
56,1982-03-31,9.300033988000001
57,1982-06-30,9.004101839666667
58,1982-09-30,7.066016678666667
59,1982-12-31,5.177362209
60,1983-03-31,4.455718182333333
61,1983-06-30,3.3518182646666665
62,1983-09-30,2.4508275286666668
63,1983-12-31,3.596557226
64,1984-03-31,4.539689325
65,1984-06-30,4.699730280333333
66,1984-09-30,5.007283728
67,1984-12-31,5.024163238333333
68,1985-03-31,4.841625796
69,1985-06-30,4.936544191333333
70,1985-09-30,4.8793875
71,1985-12-31,5.009053080666667
72,1986-03-31,5.200894832333333
73,1986-06-30,5.134736750666667
74,1986-09-30,4.910461112
75,1986-12-31,4.703908635666667
76,1987-03-31,4.406619880666667
77,1987-06-30,4.3295668376666665
78,1987-09-30,4.259249547666666
79,1987-12-31,4.326115747
80,1988-03-31,4.396599764666667
81,1988-06-30,4.493915003000001
82,1988-09-30,4.698775439666666
83,1988-12-31,4.7136083730000005
84,1989-03-31,4.76071654
85,1989-06-30,4.702114735333333
86,1989-09-30,4.805949207666667
87,1989-12-31,4.809836198
88,1990-03-31,5.004997429666667
89,1990-06-30,5.271471825666667
90,1990-09-30,5.761079016666667
91,1990-12-31,5.710902147333333
92,1991-03-31,5.717311262666667
93,1991-06-30,5.144420091333333
94,1991-09-30,4.516699897666666
95,1991-12-31,4.328545741
96,1992-03-31,3.9633060206666664
97,1992-06-30,3.9510126203333336
98,1992-09-30,3.5822418353333334
99,1992-12-31,3.5812156336666665
100,1993-03-31,3.4749123466666667
101,1993-06-30,3.5021004883333333
102,1993-09-30,3.524603721
103,1993-12-31,3.469830095666667
104,1994-03-31,3.453943741
105,1994-06-30,3.2582229763333337
106,1994-09-30,3.2649586256666665
107,1994-12-31,3.064664348333334
108,1995-03-31,3.145260705666667
109,1995-06-30,3.3314208826666665
110,1995-09-30,3.325595862
111,1995-12-31,3.4079687323333334
112,1996-03-31,3.2238374333333333
113,1996-06-30,3.0347783209999997
114,1996-09-30,3.0779950176666673
115,1996-12-31,2.9935180663333334
116,1997-03-31,2.856496043
117,1997-06-30,2.8698563709999996
118,1997-09-30,2.6502380986666663
119,1997-12-31,2.5963390453333335
120,1998-03-31,2.679011616
121,1998-06-30,2.617344784
122,1998-09-30,2.6105120223333333
123,1998-12-31,2.4988203466666667
124,1999-03-31,2.3122856666666665
125,1999-06-30,2.150058
126,1999-09-30,2.092243
127,1999-12-31,2.121763
128,2000-03-31,2.3993420000000003
129,2000-06-30,2.556459333333333
130,2000-09-30,2.8282900000000004
131,2000-12-31,2.9207249999999996
132,2001-03-31,2.940032
133,2001-06-30,3.1219136666666665
134,2001-09-30,3.2827566666666663
135,2001-12-31,3.5503286666666667
136,2002-03-31,3.5177929999999997
137,2002-06-30,3.3865486666666667
138,2002-09-30,3.1456356666666667
139,2002-12-31,2.851226666666667
140,2003-03-31,2.697638
141,2003-06-30,2.350286
142,2003-09-30,2.185938333333333
143,2003-12-31,2.0481346666666664
144,2004-03-31,2.0378456666666667
145,2004-06-30,2.2824293333333334
146,2004-09-30,2.2455293333333333
147,2004-12-31,2.2757726666666667
148,2005-03-31,2.275545333333333
149,2005-06-30,2.257718666666667
150,2005-09-30,2.291963
151,2005-12-31,2.4020569999999997
152,2006-03-31,2.5043676666666665
153,2006-06-30,2.82766
154,2006-09-30,3.1720473333333334
155,2006-12-31,3.18104
156,2007-03-31,3.129683333333334
157,2007-06-30,2.784459333333333
158,2007-09-30,2.486496333333333
159,2007-12-31,2.6188326666666666
160,2008-03-31,2.684794
161,2008-06-30,2.8174930000000002
162,2008-09-30,3.0542993333333333
163,2008-12-31,2.771273666666667
164,2009-03-31,2.5054153333333335
165,2009-06-30,2.237264
166,2009-09-30,1.7567016666666666
167,2009-12-31,1.3965153333333333
168,2010-03-31,1.0483168
169,2010-06-30,0.8135759
170,2010-09-30,0.6996849666666667
171,2010-12-31,0.7754744666666666
172,2011-03-31,1.0839320666666667
173,2011-06-30,1.2534413333333332
174,2011-09-30,1.5971323333333334
175,2011-12-31,1.9054520000000001
176,2012-03-31,2.084076666666667
177,2012-06-30,2.2063086666666667
178,2012-09-30,2.216934
179,2012-12-31,2.1697710000000003
180,2013-03-31,2.102180333333333
181,2013-06-30,1.903783
182,2013-09-30,1.8884146666666666
183,2013-12-31,1.8766796666666667
184,2014-03-31,1.8108643333333332
185,2014-06-30,2.0986553333333333
186,2014-09-30,2.0025020000000002
187,2014-12-31,1.9872786666666666
188,2015-03-31,1.979496
189,2015-06-30,2.071334333333333
190,2015-09-30,2.189406
191,2015-12-31,2.3892046666666666
192,2016-03-31,2.5084486666666668
193,2016-06-30,2.553579
194,2016-09-30,2.6369336666666663
195,2016-12-31,2.535372666666667
196,2017-03-31,2.584297
197,2017-06-30,2.165805
198,2017-09-30,2.0993926666666667
199,2017-12-31,2.1315233333333334
200,2018-03-31,2.215949666666667
201,2018-06-30,2.528900333333333
202,2018-09-30,2.471359
203,2018-12-31,2.449275666666667
204,2019-03-31,2.3693143333333335
205,2019-06-30,2.382091
206,2019-09-30,2.5764183333333333
207,2019-12-31,2.7574086666666666
208,2020-03-31,2.7323793333333337
209,2020-06-30,2.0623356666666663
210,2020-09-30,2.1582383333333333
211,2020-12-31,1.681852
212,2021-03-31,1.4660193333333333
213,2021-06-30,2.4434543333333334
214,2021-09-30,2.4222259999999998
215,2021-12-31,3.2161486666666668
216,2022-03-31,4.260048666666667
217,2022-06-30,5.017079666666667
218,2022-09-30,5.963353000000001
219,2022-12-31,6.424551999999999
220,2023-03-31,6.467833333333334
221,2023-06-30,5.942054333333334
222,2023-09-30,5.179248666666667
223,2023-12-31,4.708538999999999
224,2024-03-31,4.5054124196666665
